,Filename,Success,Nchan,dof,chi^2,chi^2/dof,rms,A,dA,B_1,dB_1,B_2,dB_2,C,dC,XE_0,dXE_0,XP_0,dXP_0,W,dW,N,dN,X,dX,W_50,dW_50,W_20,dW_20,F_peak,dF_peak,F_int,dF_int,Class
10,1504+377_cmr+98.DAT,0,122,114,340.748,2.98902,0.01,9.38003e-05,0.632473,0.336534,0.0337833,0.305788,0.0580536,3550.72,23948300.0,82.5116,0.281501,81.5226,0.0747158,4.33858,0.885662,0.353209,0.703434,334.214,0.460175,79.9604,1.06222,105.758,1.14736,0.41324,0.00706851,29.8404,0.390772,0
11,J01465-0157_adi19.DAT,0,120,115,5.37893,0.0467733,0.01,0.0235357,0.19082,0.0511379,0.0697027,0.0258944,0.08985,0.0,0.0,59.0298,88.902,0.1,0.0,10.0573,152.875,0.0,0.0,39.73,0.0,0.0,0.0,0.0,0.0,0.0117264,0.00234671,0.0,0.0,0
12,J075756.71+395936.1.txt,0,185,180,28.8562,0.160312,0.01,0.0667608,0.201647,0.338797,0.250593,0.122365,0.184671,0.0,0.0,91.0093,8.54175,0.1,0.0,2.08222,11.7983,0.0,0.0,-0.761192,18.584,150.632,35.3607,240.913,40.3649,0.0362193,0.00552618,5.9553,0.871021,0
13,J080601.51+190614.7.txt,2,185,180,39.0765,0.217092,0.01,1151550000.0,1357270000000.0,0.193207,0.0714728,0.0173482,0.423157,0.0,0.0,-35.1361,6836.84,0.1,0.0,131.494,6844.98,0.0,0.0,133.327,1058.54,220.748,773.523,366.912,3136.69,0.0328462,0.255049,8.31004,42.2041,0
14,J080938.88+345537.2.txt,0,179,174,10.2978,0.0591826,0.01,0.00853518,0.010629,0.668018,2.59508,1.34115,9.87538,0.0,0.0,80.7204,1.46754,0.1,0.0,2.14707,2.31449,0.0,0.0,-213.66,27.9814,76.7755,74.5324,100.658,78.6882,0.00847998,0.00874828,0.653268,0.490299,0
15,J082133.60+470237.3.txt,0,220,215,3.56044,0.0165602,0.01,0.009766,0.109632,4.83536,6621330000.0,4.54053,5482980000.0,0.0,0.0,129.971,26772200.0,0.1,0.0,1.0003,26772200.0,0.0,0.0,-207.428,650087000.0,37.1722,723658000.0,42.5946,2907110000.0,0.009766,0.0100002,0.362904,9706620.0,0
16,J083548.14+151717.0.txt,0,220,212,3332.46,15.7192,0.01,0.157425,0.827324,0.33067,0.41895,1.05767,1.44561,0.000132279,0.00195987,115.169,4.12655,112.987,0.897252,0.404861,6.79721,8.95218,12.7906,-276.114,6.82926,58.8727,11.6681,209.356,14.3233,0.117265,0.016255,9.14528,0.736189,0
17,J083637.84+440109.6.txt,1,185,177,23.3997,0.132202,0.01,0.043149,3.25827,0.416574,1.6414,0.318084,1.92392,0.0322321,0.306148,90.9557,22.0936,90.9917,3.46662,0.849538,72.8562,4.82329,9.63658,37.5968,38.0642,62.4982,51.1776,181.383,2770.24,0.0157269,0.00806307,1.42064,0.671717,0
18,J084307.11+453742.8.txt,2,185,180,54.0809,0.300449,0.01,7734610000.0,2657790000000.0,0.0732993,0.52105,0.592618,0.0461425,0.0,0.0,125.576,471.398,0.1,0.0,30.9251,472.452,0.0,0.0,52.382,80.7937,70.7125,6.97328,113.563,30.5479,0.278415,0.0486005,21.9733,9.01605,0
19,J090325.54+162256.0.txt,0,220,212,1434.97,6.76873,0.01,0.0165131,0.0838807,0.706765,1.2181,0.452182,0.531729,2.49055,10.7737,128.719,1.40513,129.229,0.860912,1.93778,7.02213,1.67556,4.3589,17.2089,4.86815,118.199,20.5966,160.788,9.50935,0.101144,0.00998072,8.4637,0.662301,0
20,J090734.91+325722.9.txt,0,220,212,2498.71,11.7864,0.01,0.0227895,5.604,2.61961,4453.41,0.427338,0.33529,10.1098,2679.05,127.834,185.57,126.232,11.9683,2.61616,186.847,0.477329,7.04242,16.4249,742.778,102.47,3200.26,128.709,209.341,0.322979,0.00866717,28.7719,375.656,0
21,J090937.44+192808.2.txt,0,185,177,87.8035,0.496065,0.01,0.0745354,0.114746,0.249055,0.391473,0.873339,8.6281,0.181832,7.30523,95.7289,33.7607,96.2306,35.1577,1.7529,8.93085,2.37169,27.7992,-30.5679,3.44099,106.122,16.8433,185.032,13.5445,0.119096,0.00665614,14.365,0.894433,0
22,J093551.59+612111.3.txt,0,185,180,37.3054,0.207252,0.01,0.0740369,0.0299736,0.0466234,0.0164174,0.101511,0.0277938,0.0,0.0,90.4133,2.97529,0.1,0.0,12.2988,5.64677,0.0,0.0,-74.1974,17.7777,527.342,40.2194,806.61,42.943,0.0569721,0.00304077,31.8561,1.5092,0
23,J102053.67+483124.3.txt,0,185,177,110.818,0.626093,0.01,0.0188522,0.519833,0.89002,9.65079,0.866945,1.06016,0.063653,5.66131,90.0323,8.6662,85.9824,376.583,3.9252,7.9283,1.35506,38.1217,-53.9587,13.254,126.271,38.0637,156.028,283.786,0.0328052,0.00854512,3.76299,0.713091,0
24,J102400.53+511248.1.txt,1,220,215,970.569,4.51428,0.01,569.267,65495.2,0.0310979,0.202729,0.737392,0.511164,0.0,0.0,157.408,605.69,0.1,0.0,40.3779,606.28,0.0,0.0,-321.02,23.0591,124.044,13.6902,239.057,25.0519,0.0798471,0.00674222,12.4676,1.16956,0
25,J102544.22+102230.4.txt,0,220,212,222.158,1.04791,0.01,0.144929,6.854,0.860913,0.876638,2.92158,1465.89,0.01218,42.8574,127.055,13.5234,124.001,75.1211,1.89568,11.6728,0.42682,948.522,-15.1247,80.6945,65.1867,367.085,80.9076,999.511,0.148072,0.01,9.65112,60.5138,0
26,J103932.12+461205.3.txt,0,220,215,2137.51,9.9419,0.01,0.201925,0.197561,0.565137,0.56203,0.597468,0.585229,0.0,0.0,128.596,0.270344,0.1,0.0,1.67529,1.66363,0.0,0.0,13.9136,2.06505,75.1902,5.14389,111.499,5.72,0.169286,0.00868303,13.2995,0.590679,0
27,J110017.98+100256.8.txt,0,220,212,213.978,1.00933,0.01,0.147411,0.0598929,0.350994,0.0544585,0.273096,0.0314235,0.0260714,0.0169238,124.083,0.620768,122.619,0.574153,2.58321,1.2664,3.3268,0.459309,-9.16899,1.76769,100.082,2.90339,195.363,6.81929,0.369022,0.00635008,46.1848,0.765592,0
28,J111113.19+284147.0.txt,0,220,215,1120.35,5.21092,0.01,0.125168,0.109185,0.11023,0.0829487,0.716448,0.513475,0.0,0.0,133.268,3.67067,0.1,0.0,3.28369,4.15506,0.0,0.0,51.1327,7.42465,149.387,14.9446,240.749,15.3223,0.0933455,0.006243,15.0716,0.835979,0
29,J111916.54+623925.7.txt,1,220,215,3573.39,16.6204,0.01,1680300000.0,2133050000000.0,0.384197,0.150755,0.058056,1.61334,0.0,0.0,85.1177,2258.94,0.1,0.0,37.6165,2266.92,0.0,0.0,-91.8442,17.9549,96.8118,10.5406,153.253,24.3063,0.279526,0.0339212,29.8664,5.02938,0
30,J112030.04+273610.7.txt,0,185,180,66.1941,0.367745,0.01,0.360523,2.49798,0.465494,0.821465,0.554427,0.673497,0.0,0.0,88.5756,1.45337,0.1,0.0,0.56346,7.85761,0.0,0.0,-89.2144,2.38628,58.5347,5.19586,90.1545,5.56864,0.1557,0.0106877,9.77667,0.555956,0
31,J112332.04+235047.8.txt,0,220,212,151.409,0.714193,0.01,0.0107063,0.0153743,0.873761,0.603929,0.680468,0.518374,6.59936e-05,0.000633017,32.4503,1.37107,32.9753,0.80592,1.55895,2.67753,10.9249,9.57798,-1906.4,24.4176,33.132,17.5683,180.289,67.1152,0.0261932,0.0112491,1.75877,0.655154,0
32,J120231.12+163741.8.txt,1,185,180,186.334,1.03519,0.01,0.328448,4.74847,0.349649,0.203792,0.0619252,0.174335,0.0,0.0,74.3521,65.4523,0.1,0.0,5.45969,68.1516,0.0,0.0,-123.367,30.5447,159.459,38.4402,273.954,48.8027,0.0355161,0.0054166,6.53349,1.04105,0
33,J122513.09+321401.6.txt,0,220,212,259.793,1.22544,0.01,0.0414317,0.0190298,0.676609,0.258216,0.962671,1.35921,0.42203,0.819633,139.15,1.21312,139.973,1.29866,2.23488,1.32223,2.34747,1.81014,175.964,2.91669,51.5176,5.22166,120.752,7.39284,0.14222,0.00886207,9.49094,0.543711,0
34,J123200.55+331747.6.txt,0,185,177,20.9181,0.118181,0.01,0.00915142,0.0179954,0.87932,1.1437,0.47566,0.455816,0.728935,3.04934,91.1143,1.36362,91.4134,1.09896,2.8929,3.90273,1.73416,4.29451,-39.8971,11.859,133.22,23.0546,165.267,23.7979,0.0339519,0.00957674,3.16972,0.616108,0
35,J123905.13+174457.5.txt,0,220,215,257.14,1.196,0.01,0.0358259,0.0123513,1.2364,1.81619,0.653107,0.6703,0.0,0.0,130.329,0.393498,0.1,0.0,2.11301,0.645925,0.0,0.0,45.2412,6.82748,74.6406,18.4558,99.1214,18.2404,0.0354633,0.00894258,2.66093,0.485143,0
36,J124707.32+490017.9.txt,1,185,177,0.241814,0.00136618,0.01,0.0241942,17.6171,0.243784,4.95183,0.0872666,5.43553,0.219814,15.3269,69.2044,1588.21,75.6286,33.542,6.80837,1807.8,1.79163,55.3195,-262.929,578.565,290.412,1407.35,404.55,1247.97,0.00137618,0.0056522,0.350961,1.11247,0
37,J130125.26+291849.5.txt,0,220,212,366.178,1.72725,0.01,0.00669703,0.0193355,0.626517,0.39916,1.38752,2.42274,1.28379,6.13392,134.606,0.430563,137.668,0.737401,7.54665,0.427052,0.803998,0.789681,84.0829,7.80245,251.861,15.8782,279.221,15.088,0.05313,0.00580698,8.67233,0.736408,0
38,J130556.95+395621.5.txt,1,220,212,3352.24,15.8125,0.01,1.55995,668276000.0,7.14512,6843790000000000.0,0.423921,12461.1,7.19221,3501250000.0,54.0299,86373800000000.0,56.0,0.000728161,1.15046,86373800000000.0,0.0607116,3761970.0,-1363.67,695572000000000.0,13.3855,625523000000000.0,29.3225,147577000000000.0,0.802353,26936300000000.0,13.941,844765000000000.0,0
39,J131535.10+620728.4.txt,1,220,212,264.296,1.24668,0.01,0.0698966,0.40903,0.691916,0.491369,0.127213,0.0869746,0.0494904,0.13751,127.424,12.7917,130.947,1.35604,0.552005,14.1939,3.36187,2.20466,146.905,9.17045,274.583,12.5008,331.669,19.0454,0.0577323,0.00501654,11.3927,0.839611,0
40,J131739.20+411545.6.txt,1,185,180,5.23914,0.0291063,0.01,2108370000.0,3341410000000.0,0.0192116,0.610898,0.398299,0.338189,0.0,0.0,224.735,8179.73,0.1,0.0,121.927,8182.78,0.0,0.0,75.9418,883.652,134.38,1448.24,241.888,4462.27,0.0221917,0.241668,3.61312,10.4927,0
41,J132035.40+340821.7.txt,0,185,180,58.2357,0.323532,0.01,0.150102,0.0166977,0.193425,0.0305827,0.12288,0.0196616,0.0,0.0,95.293,0.293019,0.1,0.0,7.52475,0.813496,0.0,0.0,41.8073,4.45933,274.393,11.1844,399.718,11.7334,0.13453,0.00431714,38.1984,1.01864,0
42,J132513.37+395553.2.txt,0,185,180,217.382,1.20768,0.01,0.0362217,0.0269454,0.797263,0.938196,0.0231335,0.0141834,0.0,0.0,94.8361,15.5263,0.1,0.0,10.983,15.7615,0.0,0.0,260.909,58.5524,573.697,125.622,973.273,118.223,0.0266774,0.00373976,16.8316,1.71307,0
43,J133455.94+134431.7.txt,0,220,215,5438.07,25.2933,0.01,0.176069,0.0423502,0.928691,0.929211,1.24477,1.93989,0.0,0.0,121.888,0.308099,0.1,0.0,2.09286,0.410572,0.0,0.0,-101.289,1.15759,70.6087,2.71425,89.6394,3.75178,0.175778,0.00794949,12.4244,0.449741,0
44,J133817.24+481629.7.txt,0,220,212,235.137,1.10914,0.01,0.0133996,0.00670178,0.46617,0.692662,2.94175,3740.49,0.00533217,0.0541902,137.631,69.6785,138.077,3.08015,4.25953,70.0415,4.15208,8.57041,132.12,1161.55,185.079,2067.97,205.138,2269.7,0.0299187,0.00759783,3.76235,47.2898,0
45,J134035.20+444817.3.txt,0,185,180,218.482,1.21379,0.01,0.434361,0.57265,0.361138,0.200357,2.38943,40.9086,0.0,0.0,92.4035,0.793044,0.1,0.0,0.502248,2.20994,0.0,0.0,-13.5732,2.50235,38.2033,89.7988,64.365,151.653,0.249442,0.701409,10.6195,4.8885,0
46,J134111.14+302241.3.txt,1,220,215,658.439,3.06251,0.01,0.171124,1.85024,0.215224,0.165435,0.074727,0.226532,0.0,0.0,124.977,43.193,0.1,0.0,0.516815,52.8165,0.0,0.0,39.0323,18.2846,197.09,28.2871,318.785,34.6584,0.0471138,0.00457224,10.2787,1.02678,0
47,J134442.16+555313.5.txt,0,185,177,14.6902,0.0829953,0.01,0.066766,0.00514312,0.23894,0.0526442,0.304092,0.0804896,0.00544889,0.0176423,99.6103,0.535015,104.324,2.14455,16.1987,0.602228,1.5563,1.17261,90.1952,5.51356,562.21,11.3807,639.378,13.605,0.0895496,0.00442303,44.3822,1.13307,0
48,J134649.45+142401.7.txt,0,220,215,56.8372,0.264359,0.01,0.0169743,0.0135126,0.946249,2.32259,6.98544,2.98242e+17,0.0,0.0,115.73,1395750000000000.0,0.1,0.0,1.335,1395750000000000.0,0.0,0.0,-205.957,2.6558e+16,45.0872,2.67641e+16,57.2656,6.00897e+16,0.0169473,29770600000.0,0.762413,747906000000000.0,0
49,J135217.88+312646.4.txt,0,185,177,3.11542,0.0176012,0.01,0.0285829,0.0092403,0.314066,0.343372,0.456394,0.294899,8.89055e-06,0.00017029,84.1625,2.49825,81.8516,5.28562,4.31321,2.93018,6.66155,8.73844,-130.463,12.893,105.418,126.934,223.623,26.1451,0.0571723,0.00743911,7.64489,0.810881,0
50,J135646.10+102609.0.txt,0,220,215,2181.25,10.1454,0.01,0.0591774,0.00966288,6.23708,3431120000000000.0,1.26731,2.04743,0.0,0.0,137.793,11273700000000.0,0.1,0.0,6.75231,11273700000000.0,0.0,0.0,184.09,60604500000000.0,250.194,75279400000000.0,261.609,63177800000000.0,0.0591774,0.0030337,14.8164,7515390000000.0,0
51,J135806.05+214021.1.txt,0,220,212,360.868,1.70221,0.01,0.0226151,0.0206568,0.746756,0.26357,0.624041,0.717697,0.519139,0.961196,130.546,1.48525,131.506,1.07553,2.43166,1.69163,2.65342,1.79677,24.671,3.79706,45.6199,3.4944,72.8752,5.14111,0.162345,0.00911595,9.72448,0.582077,0
52,J142210.81+210554.1.txt,1,185,180,60.0624,0.33368,0.01,492836000.0,1098710000000.0,0.0458418,2.16733,0.356052,0.188595,0.0,0.0,134.178,4949.39,0.1,0.0,48.7091,4961.65,0.0,0.0,-168.21,93.4087,116.382,59.5337,186.48,505.339,0.033177,0.00605925,4.30183,2.20031,0
53,J143521.67+505122.9.txt,1,185,177,19.8846,0.112342,0.01,0.31773,39.5361,0.590808,2.08041,0.10325,0.848895,0.0359898,1.12608,75.7745,221.368,83.0136,20.7117,6.42829,233.801,3.17176,17.2196,-69.6432,72.0314,225.865,152.345,300.9,176.122,0.0075248,0.00534526,1.57718,0.879505,0
54,J144921.58+631614.0.txt,1,185,177,0.375472,0.00212131,0.01,0.00786475,1.68479,0.0585615,1.43262,0.181345,1.79434,0.119637,6.42803,102.638,747.924,91.291,24.3782,4.54737,993.159,1.6639,32.7238,27.0514,394.398,160.325,313.973,455.355,1015.08,0.00368054,0.0049519,0.863905,1.2128,0
55,J150034.56+364845.1.txt,2,185,180,150.435,0.835749,0.01,3878460000.0,2022010000000.0,0.363711,0.0459319,0.0496021,0.536335,0.0,0.0,48.0868,1057.94,0.1,0.0,45.536,1060.83,0.0,0.0,34.5924,19.555,100.2,74.5161,159.618,107.981,0.163453,0.0209222,18.1626,5.01369,0
56,J150721.87+101844.8.txt,0,220,212,11.9567,0.0563996,0.01,0.00694999,0.0409412,0.239066,0.726456,0.937629,2.17097,0.0178456,0.218133,128.985,16.2798,127.867,9.81135,2.86134,17.1189,3.42237,10.1754,-15.4276,53.324,68.0659,198.871,241.934,106.197,0.0113267,0.0090434,1.4042,0.749442,0
57,J151319.23+343133.7.txt,0,220,212,1423.92,6.71659,0.01,0.00287354,64.027,0.371386,0.256292,0.448484,0.193074,109.99,2473020.0,129.281,1.61569,130.564,0.822764,3.02951,2.51909,0.0709946,14.6809,22.9807,1.59107,123.592,3.66648,174.778,3.74023,0.299187,0.00917943,37.122,1.9841,0
58,J152446.01+230723.5.txt,0,220,212,614.346,2.89786,0.01,0.0307639,0.00805447,1.06217,0.804059,0.391746,0.301537,7.92295e-06,0.000102723,133.387,1.51916,134.184,1.29994,5.10293,1.46223,7.19177,8.08751,119.436,10.1552,147.459,138.466,313.923,20.1301,0.0601176,0.00971469,9.58222,0.864118,0
59,J152922.49+362142.2.txt,1,185,180,420.196,2.33442,0.01,1.73733,295.566,0.165216,0.168098,0.092569,1.5656,0.0,0.0,87.7009,329.624,0.1,0.0,5.68242,448.482,0.0,0.0,-16.5258,14.8435,188.467,16.2512,291.389,25.424,0.0620319,0.00446788,12.603,0.964234,0
60,J153437.61+251311.4.txt,1,220,212,1017.51,4.7996,0.01,0.988146,669.224,0.404731,6.81896,0.702364,4.15508,0.248896,816.96,123.848,90.2827,126.986,69.2045,0.523929,107.66,0.47794,1076.4,-83.024,2537.86,44.2789,544.095,68.8866,474.726,0.20036,88.0362,9.59373,4309.33,0
61,J153452.95+290919.8.txt,0,220,212,308.308,1.45428,0.01,0.00631034,0.00660678,0.281325,0.175391,1.38963,3.8142,0.0883501,0.367187,139.345,1.112,144.185,1.78082,13.8161,1.14915,1.47447,1.24501,142.085,21.7065,556.791,47.5604,611.721,32.9644,0.0340473,0.00449291,10.919,1.16894,0
62,J155902.70+230830.4.txt,0,220,215,592.403,2.75536,0.01,0.0302791,0.00371183,5.30416,45368800000.0,6.14357,1.09046e+16,0.0,0.0,129.962,9319420000000.0,0.1,0.0,11.0275,9319420000000.0,0.0,0.0,41.0716,94459300000000.0,434.017,116407000000000.0,438.944,781742000000000.0,0.0302791,0.00223614,13.1411,6459980000000.0,0
63,J160246.39+524358.3.txt,1,185,177,1.72908,0.00976884,0.01,71.5295,31868.9,0.0364252,0.644332,0.161913,0.173728,0.0619991,0.644192,120.743,1669.7,83.7522,6.6654,36.014,1732.73,2.06563,6.06372,-202.735,126.659,448.433,556.921,624.031,360.784,0.008998,0.0157232,3.3609,1.4619,0
64,J160332.08+171155.3.txt,0,185,177,7.72899,0.0436666,0.01,0.0499573,134.495,0.707632,530.813,0.714115,115.627,0.479268,7845.95,93.4363,2555.26,91.2493,1558.37,1.08277,150.864,0.697656,12037.1,-4.52621,1333.09,46.5157,1436.01,70.0374,7468.91,0.0687563,0.908992,3.39048,117.903,0
65,J160338.06+155402.5.txt,0,185,177,69.4101,0.392147,0.01,0.0704052,0.0096478,0.271232,0.049989,0.230876,0.0311037,0.00041876,0.000472638,93.1035,0.835418,94.01,0.613668,5.67642,1.45859,4.49979,0.621248,-30.4126,4.93146,348.911,84.1995,447.286,11.3206,0.1209,0.00569114,31.6726,0.996773,0
66,J160952.60+133148.0.txt,2,220,212,3478.07,16.406,0.01,0.0369263,0.0284539,6.86281,5.00536e+17,0.553274,0.396992,0.10409,0.418578,129.624,216576000000000.0,129.235,0.778277,7.62999,216576000000000.0,1.71906,1.82971,40.3886,2444890000000000.0,267.235,6.20475e+16,287.481,4.38535e+16,0.143542,277854000000000.0,22.2348,331385000000000.0,0
67,J161217.62+282546.4.txt,0,185,180,94.9782,0.527657,0.01,0.0510445,0.0405601,0.474652,0.476794,0.615598,0.599114,0.0,0.0,92.9114,0.407034,0.1,0.0,1.99573,1.56333,0.0,0.0,-5.69288,7.24686,76.4961,18.2663,112.209,18.977,0.0446438,0.00823399,3.54795,0.551623,0
68,J161740.53+350015.1.txt,0,220,212,49.3119,0.232604,0.01,7.22846e-08,0.041682,6.72902,2.90758e+19,1.37457,3.65311,129022.0,74399600000.0,116.327,726602000000000.0,116.807,0.995816,3.32755,726602000000000.0,0.630644,2.64163,-200.05,3.1175e+17,111.317,1.12934e+19,122.348,7.27716e+18,0.0203529,1.11643e+16,1.39946,3146290000000000.0,0
69,J163804.02+264329.1.txt,0,220,212,768.4,3.62453,0.01,0.0474418,0.194865,0.294018,0.32083,0.389551,0.363271,0.0344014,0.0765599,130.403,3.16232,129.427,1.52509,1.87848,10.4276,3.80497,2.71511,54.5938,6.28669,71.8873,8.83462,246.621,12.1739,0.0982977,0.00749801,11.7211,0.759402,0
70,J163844.80+275439.1.txt,1,220,215,4478.89,20.832,0.01,0.429767,2.44884,0.501646,0.39816,0.0872936,0.173118,0.0,0.0,99.2208,22.7988,0.1,0.0,0.446321,24.3875,0.0,0.0,-427.919,6.27566,136.493,9.58876,234.159,10.9576,0.142963,0.00609717,22.2474,0.918697,0
71,J163956.07+112757.4.txt,0,220,215,248.449,1.15558,0.01,0.250858,0.0732357,0.953804,0.404823,1.08895,0.371146,0.0,0.0,126.38,0.0557837,0.1,0.0,1.14076,0.323548,0.0,0.0,-27.121,1.06959,43.6543,4.03734,63.4007,2.87462,0.22617,0.0148558,10.1979,0.426562,0
72,J170815.25+211117.7.txt,0,220,215,1666.48,7.75108,0.01,0.15604,0.0615005,0.376381,0.210941,0.20616,0.116423,0.0,0.0,128.791,0.686075,0.1,0.0,4.19664,1.61764,0.0,0.0,28.3312,3.92637,183.398,9.74617,268.024,10.1185,0.139603,0.00580788,26.512,0.912736,0
73,SPEC_J0919+0146.DAT,0,463,455,145.733,0.320292,0.01,0.026316,0.298356,0.0342927,0.0621499,0.0213706,0.0598189,0.0147338,0.33159,277.171,138.332,268.992,23.3534,9.23624,251.673,0.945946,8.1157,-2.44941,14.5774,129.994,29.5403,198.64,31.9669,0.0130888,0.00216295,1.7851,0.263569,0
74,SPEC_J1521+5508.DAT,1,512,504,353.124,0.700643,0.01,0.0411878,0.596381,0.69592,0.669325,0.0761425,0.156338,0.00421542,0.0376153,255.158,54.629,262.361,10.6138,0.983934,55.7744,3.16721,4.90146,-2.50725,5.72577,8.31245,5.15474,44.1948,10.2237,0.0233354,0.00730967,0.436763,0.10892,0
0,0201+113_gmrt.freq,0,86,81,40.1162,0.495262,0.01,0.0482388,0.0376462,1.61286,1.95728,0.533665,0.597188,0.0,0.0,33.1081,0.687197,0.1,0.0,1.32898,1.05316,0.0,0.0,-2.8371,3.16053,20.9384,7.75615,31.0398,9.15735,0.0428916,0.0121224,0.932683,0.199354,1
1,0235+164_gmrt.freq,2,123,118,0.000258207,2.18819e-06,0.01,7241610.0,1362740000000.0,0.362251,41.6995,0.0157882,61.4188,0.0,0.0,-77.1956,1199310.0,0.1,0.0,146.082,1199700.0,0.0,0.0,-46.7781,3005.4,22.4245,8665.67,40.9686,98437.0,0.000156375,0.161785,0.00429033,1.89103,1
2,0237-233_gbt.freq,1,97,92,33.1822,0.360676,0.01,232.535,197930.0,7.73354,4.01903e+16,0.257178,11.8664,0.0,0.0,35.3667,178802000000000.0,0.1,0.0,4.70208,178802000000000.0,0.0,0.0,-4.35092,372032000000000.0,1.46113,2607370000000000.0,3.01623,2649960000000000.0,0.0563409,98808300000000.0,0.106409,38450400000000.0,1
3,0311+430_gmrt.freq,1,510,505,6.70856,0.0132843,0.01,0.128997,6.09284,0.13103,0.162712,0.0288982,0.232628,0.0,0.0,211.759,429.832,0.1,0.0,13.4457,453.62,0.0,0.0,62.1303,22.8621,56.5135,28.4538,94.5364,38.1762,0.0102793,0.00347111,0.660517,0.238251,1
4,0438-436_gbt.freq,1,54,49,0.361933,0.00738638,0.01,0.320591,105.437,0.895054,4.79133,0.103037,3.95566,0.0,0.0,20.3699,726.446,0.1,0.0,6.62416,734.501,0.0,0.0,21.208,73.8436,30.9212,75.2741,54.9156,103.479,0.00550234,0.00851276,0.201583,0.334328,1
5,0458-020_highz_gbt.freq,0,113,105,10.8867,0.103682,0.01,0.0631255,0.0140277,0.246527,0.0540843,0.266404,0.0551561,0.16332,0.22752,58.9439,0.570395,61.2721,0.547216,7.69484,1.00291,1.03244,0.701747,-2.42253,0.397337,27.0166,0.948423,34.5611,0.996581,0.119744,0.00523284,2.8245,0.0857289,1
