,params,rank_test_roc_auc,rank_test_accuracy,rank_test_average_precision
20,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 3}",8919,9379,8846
21,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 4}",7489,8509,7546
22,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 5}",6986,7883,7059
23,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 6}",7307,8053,6928
24,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 7}",6683,8373,6611
25,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 8}",6535,8301,6467
26,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 9}",5829,8147,6028
27,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 1}",10081,9234,9955
28,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 2}",10165,9985,9927
29,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 3}",8919,9379,8846
30,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 4}",7489,8509,7546
31,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 5}",6986,7883,7059
32,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 6}",7307,8053,6928
33,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 7}",6683,8373,6611
34,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 8}",6535,8301,6467
35,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 9}",5829,8147,6028
36,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 6, 'model__n_estimators': 1}",10081,9234,9955
37,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 6, 'model__n_estimators': 2}",10165,9985,9927
38,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 6, 'model__n_estimators': 3}",8919,9379,8846
39,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 6, 'model__n_estimators': 4}",7489,8509,7546
40,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 6, 'model__n_estimators': 5}",6986,7883,7059
41,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 6, 'model__n_estimators': 6}",7307,8053,6928
42,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 6, 'model__n_estimators': 7}",6683,8373,6611
43,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 6, 'model__n_estimators': 8}",6535,8301,6467
44,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 6, 'model__n_estimators': 9}",5829,8147,6028
45,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 7, 'model__n_estimators': 1}",10081,9234,9955
46,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 7, 'model__n_estimators': 2}",10165,9985,9927
47,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 7, 'model__n_estimators': 3}",8919,9379,8846
48,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 7, 'model__n_estimators': 4}",7489,8509,7546
49,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 7, 'model__n_estimators': 5}",6986,7883,7059
50,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 7, 'model__n_estimators': 6}",7307,8053,6928
51,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 7, 'model__n_estimators': 7}",6683,8373,6611
52,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 7, 'model__n_estimators': 8}",6535,8301,6467
53,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 7, 'model__n_estimators': 9}",5829,8147,6028
54,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 8, 'model__n_estimators': 1}",10081,9234,9955
55,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 8, 'model__n_estimators': 2}",10165,9985,9927
56,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 8, 'model__n_estimators': 3}",8919,9379,8846
57,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 8, 'model__n_estimators': 4}",7489,8509,7546
58,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 8, 'model__n_estimators': 5}",6986,7883,7059
59,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 8, 'model__n_estimators': 6}",7307,8053,6928
60,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 8, 'model__n_estimators': 7}",6683,8373,6611
61,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 8, 'model__n_estimators': 8}",6535,8301,6467
62,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 8, 'model__n_estimators': 9}",5829,8147,6028
63,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 1}",10081,9234,9955
64,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 2}",10165,9985,9927
65,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 3}",8919,9379,8846
66,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 4}",7489,8509,7546
67,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 5}",6986,7883,7059
68,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 6}",7307,8053,6928
69,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 7}",6683,8373,6611
70,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 8}",6535,8301,6467
71,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 9}",5829,8147,6028
72,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 3, 'model__n_estimators': 1}",10081,9234,9955
73,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 3, 'model__n_estimators': 2}",10165,9985,9927
74,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 3, 'model__n_estimators': 3}",8919,9379,8846
75,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 3, 'model__n_estimators': 4}",7489,8509,7546
76,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 3, 'model__n_estimators': 5}",6986,7883,7059
77,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 3, 'model__n_estimators': 6}",7307,8053,6928
78,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 3, 'model__n_estimators': 7}",6683,8373,6611
79,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 3, 'model__n_estimators': 8}",6535,8301,6467
80,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 3, 'model__n_estimators': 9}",5829,8147,6028
81,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 1}",10081,9234,9955
82,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 2}",10165,9985,9927
83,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 3}",8919,9379,8846
84,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 4}",7489,8509,7546
85,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 5}",6986,7883,7059
86,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 6}",7307,8053,6928
87,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 7}",6683,8373,6611
88,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 8}",6535,8301,6467
89,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 9}",5829,8147,6028
90,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 1}",10081,9234,9955
91,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 2}",10165,9985,9927
92,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 3}",8919,9379,8846
93,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 4}",7489,8509,7546
94,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 5}",6986,7883,7059
95,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 6}",7307,8053,6928
96,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 7}",6683,8373,6611
97,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 8}",6535,8301,6467
98,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 9}",5829,8147,6028
99,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 1}",10081,9234,9955
100,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 2}",10165,9985,9927
101,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 3}",8919,9379,8846
102,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 4}",7489,8509,7546
103,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 5}",6986,7883,7059
104,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 6}",7307,8053,6928
105,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 7}",6683,8373,6611
106,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 8}",6535,8301,6467
107,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 6, 'model__n_estimators': 9}",5829,8147,6028
108,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 7, 'model__n_estimators': 1}",10081,9234,9955
109,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 7, 'model__n_estimators': 2}",10165,9985,9927
110,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 7, 'model__n_estimators': 3}",8919,9379,8846
111,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 7, 'model__n_estimators': 4}",7489,8509,7546
112,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 7, 'model__n_estimators': 5}",6986,7883,7059
113,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 7, 'model__n_estimators': 6}",7307,8053,6928
114,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 7, 'model__n_estimators': 7}",6683,8373,6611
115,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 7, 'model__n_estimators': 8}",6535,8301,6467
116,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 7, 'model__n_estimators': 9}",5829,8147,6028
117,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 8, 'model__n_estimators': 1}",10081,9234,9955
118,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 8, 'model__n_estimators': 2}",10165,9985,9927
119,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 8, 'model__n_estimators': 3}",8919,9379,8846
120,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 8, 'model__n_estimators': 4}",7489,8509,7546
121,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 8, 'model__n_estimators': 5}",6986,7883,7059
122,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 8, 'model__n_estimators': 6}",7307,8053,6928
123,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 8, 'model__n_estimators': 7}",6683,8373,6611
124,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 8, 'model__n_estimators': 8}",6535,8301,6467
125,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 8, 'model__n_estimators': 9}",5829,8147,6028
126,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 2, 'model__n_estimators': 1}",10081,9234,9955
127,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 2, 'model__n_estimators': 2}",10193,10017,9913
128,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 2, 'model__n_estimators': 3}",8905,9357,8788
129,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 2, 'model__n_estimators': 4}",7427,8537,7504
130,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 2, 'model__n_estimators': 5}",6957,7856,6994
131,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 2, 'model__n_estimators': 6}",7285,8095,6914
132,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 2, 'model__n_estimators': 7}",6655,8355,6591
133,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 2, 'model__n_estimators': 8}",6521,8285,6451
134,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 2, 'model__n_estimators': 9}",5815,8177,6012
135,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 3, 'model__n_estimators': 1}",10081,9234,9955
136,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 3, 'model__n_estimators': 2}",10193,10017,9913
137,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 3, 'model__n_estimators': 3}",8905,9357,8788
138,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 3, 'model__n_estimators': 4}",7427,8537,7504
139,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 3, 'model__n_estimators': 5}",6957,7856,6994
140,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 3, 'model__n_estimators': 6}",7285,8095,6914
141,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 3, 'model__n_estimators': 7}",6655,8355,6591
142,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 3, 'model__n_estimators': 8}",6521,8285,6451
143,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 3, 'model__n_estimators': 9}",5815,8177,6012
144,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 4, 'model__n_estimators': 1}",10081,9234,9955
145,"{'model__bootstrap': True, 'model__max_depth': 1, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 4, 'model__n_estimators': 2}",10193,10017,9913
